Portfolio Return,Portfolio Risk,Sharpe Ratio,Weights,Fund Distribution
0.30475806827377877,0.31528824541290085,0.9666014280826366,[0.         0.30626938 0.         0.         0.29980809 0.39392252],[    0. 15313.     0.     0. 14990. 19696.]
0.3212527227219246,0.34602260356503556,0.9284154255013708,[0.         0.50104358 0.         0.         0.         0.49895642],[    0. 25052.     0.     0.     0. 24947.]
0.3088790102582476,0.3179130199653772,0.971583391872049,[0.         0.41110938 0.         0.         0.21759096 0.37129966],[    0. 20555.     0.     0. 10879. 18564.]
0.3100707556341151,0.3198733396226867,0.9693547952444727,[0.         0.42468466 0.         0.         0.19599445 0.37932089],[    0. 21234.     0.     0.  9799. 18966.]
0.30943758681331796,0.31840027807461047,0.9718508686126452,[0.         0.43144839 0.         0.         0.20564884 0.36290277],[    0. 21572.     0.     0. 10282. 18145.]
0.3128796681535863,0.348766268295537,0.89710415425972,[0.         0.22388343 0.         0.         0.17540284 0.60071373],[    0. 11194.     0.     0.  8770. 30035.]
0.30264029707254847,0.357050219017312,0.8476126913056861,[0.         0.         0.         0.         0.37492183 0.62507817],[    0.     0.     0.     0. 18746. 31253.]
0.27738214147502616,0.3177145295518342,0.8730546313582176,[0.         0.         0.         0.         0.79518232 0.20481768],[    0.     0.     0.     0. 39759. 10240.]
0.31651654928007356,0.3329214406724851,0.9507244370946057,[0.         0.48597747 0.         0.         0.08076496 0.43325757],[    0. 24298.     0.     0.  4038. 21662.]
0.3045554820344246,0.31139468052498664,0.9780368807873285,[0.         0.37600971 0.         0.         0.2940985  0.32989179],[    0. 18800.     0.     0. 14704. 16494.]
0.31215778145011036,0.3484183600102718,0.8959280488000332,[0.         0.21044781 0.         0.         0.18916337 0.60038882],[    0. 10522.     0.     0.  9458. 30019.]
0.29878845323311,0.3127058428529986,0.955493669408566,[0.         0.20494246 0.         0.         0.41232716 0.38273038],[    0. 10247.     0.     0. 20616. 19136.]
0.31345536435243315,0.33061330547587514,0.9481026902448909,[0.         0.64558083 0.         0.         0.11091809 0.24350108],[    0. 32279.     0.     0.  5545. 12175.]
0.3096119633778619,0.3234231449627913,0.9572968669681376,[0.         0.34471938 0.         0.         0.21403977 0.44124085],[    0. 17235.     0.     0. 10701. 22062.]
0.313871469978351,0.3642877799005218,0.8616030712423616,[0.         0.16046371 0.         0.         0.16715803 0.67237826],[    0.  8023.     0.     0.  8357. 33618.]
0.3072571872247105,0.3233474658810778,0.9502384266024059,[0.         0.28085934 0.         0.         0.26153469 0.45760598],[    0. 14042.     0.     0. 13076. 22880.]
0.2944759052282369,0.32445922916334324,0.9075898564746582,[0.        0.5624688 0.        0.        0.4375312 0.       ],[    0. 28123.     0.     0. 21876.     0.]
0.29331559805425894,0.30372510875064196,0.9657271974016175,[0.         0.34146349 0.         0.         0.48561249 0.17292402],[    0. 17073.     0.     0. 24280.  8646.]
0.29489766262213235,0.30469217526209064,0.9678544004894999,[0.         0.24898019 0.         0.         0.47133068 0.27968913],[    0. 12449.     0.     0. 23566. 13984.]
0.3181591130005442,0.36732026627297854,0.8661626983687865,[0.         0.89637732 0.         0.         0.         0.10362268],[    0. 44818.     0.     0.     0.  5181.]
0.273536371411564,0.32091595784755866,0.8523613884651355,[0.         0.         0.         0.         0.85917057 0.14082943],[    0.     0.     0.     0. 42958.  7041.]
0.28722627833245384,0.3165218981036793,0.9074452038018884,[0.         0.42378864 0.         0.         0.57621136 0.        ],[    0. 21189.     0.     0. 28810.     0.]
0.3199509697482041,0.3418470411390211,0.9359477521939048,[0.         0.66739516 0.         0.         0.         0.33260484],[    0. 33369.     0.     0.     0. 16630.]
0.32305721335342225,0.3820698273859179,0.8455449506802099,[0.         0.27044694 0.         0.         0.         0.72955306],[    0. 13522.     0.     0.     0. 36477.]
0.2933046691236327,0.3030461800439436,0.9678546981885785,[0.         0.3078224  0.         0.         0.49017448 0.20200312],[    0. 15391.     0.     0. 24508. 10100.]
0.2999072181104795,0.3081544565004679,0.9732366733110157,[0.         0.44493791 0.         0.         0.36246452 0.19259757],[    0. 22246.     0.     0. 18123.  9629.]
0.3158762827614304,0.3331392880014898,0.9481808184689938,[0.         0.44551619 0.         0.         0.09668626 0.45779755],[    0. 22275.     0.     0.  4834. 22889.]
0.2948573453731384,0.30907722814198596,0.9539924605435016,[0.         0.44257823 0.         0.         0.4467946  0.11062717],[    0. 22128.     0.     0. 22339.  5531.]
0.31581681782020243,0.3323653789259615,0.9502097325562736,[0.         0.45654364 0.         0.         0.09623987 0.44721649],[    0. 22827.     0.     0.  4811. 22360.]
0.3047376598210903,0.3144517990587551,0.9691077002365959,[0.         0.52133351 0.         0.         0.27214582 0.20652066],[    0. 26066.     0.     0. 13607. 10326.]
0.32233665058241145,0.3638607838940341,0.8858790637802958,[0.         0.36252797 0.         0.         0.         0.63747203],[    0. 18126.     0.     0.     0. 31873.]
0.2941450099362325,0.3048175260778377,0.9649871965075922,[0.         0.37421639 0.         0.         0.46754773 0.15823588],[    0. 18710.     0.     0. 23377.  7911.]
0.295783260879129,0.3036961762108656,0.9739446329866122,[0.         0.3318242  0.         0.         0.44580908 0.22236672],[    0. 16591.     0.     0. 22290. 11118.]
0.31819546551884725,0.34895103268476574,0.9118627994040002,[0.         0.35509274 0.         0.         0.06987163 0.57503563],[    0. 17754.     0.     0.  3493. 28751.]
0.3112436695144275,0.3274958807722115,0.9503743032753192,[0.         0.63342084 0.         0.         0.14930087 0.21727829],[    0. 31671.     0.     0.  7465. 10863.]
0.3029724832166055,0.30900594610102944,0.980474605875541,[0.         0.39473125 0.         0.         0.3179998  0.28726895],[    0. 19736.     0.     0. 15899. 14363.]
0.3214266633559159,0.34804453124887325,0.9235216602960385,[0.         0.47881563 0.         0.         0.         0.52118437],[    0. 23940.     0.     0.     0. 26059.]
0.299226459672432,0.3056464288352028,0.978995438660164,[0.         0.37149984 0.         0.         0.38335319 0.24514696],[    0. 18574.     0.     0. 19167. 12257.]
0.28925462771829885,0.30879132625266054,0.9367317120870932,[0.         0.12112873 0.         0.         0.58186946 0.29700181],[    0.  6056.     0.     0. 29093. 14850.]
0.31049946703370024,0.34754927249869444,0.8933969701659111,[0.         0.18131131 0.         0.         0.22054905 0.59813964],[    0.  9065.     0.     0. 11027. 29906.]
0.3095649724250947,0.3518566017497293,0.8798043603151829,[0.         0.14001917 0.         0.         0.24147407 0.61850676],[    0.  7000.     0.     0. 12073. 30925.]
0.3235397754198381,0.3967112462965288,0.8155548360179398,[0.         0.20878012 0.         0.         0.         0.79121988],[    0. 10439.     0.     0.     0. 39560.]
0.2815299769045588,0.3120454448710338,0.9022082569444754,[0.         0.05596026 0.         0.         0.71888196 0.22515778],[    0.  2798.     0.     0. 35944. 11257.]
0.3016185053252398,0.31509120343474695,0.9572419097624945,[0.         0.23468328 0.         0.         0.36136672 0.40395   ],[    0. 11734.     0.     0. 18068. 20197.]
